ISO3,Country or territory,Period,GSNI1,GSNI2,NB,Political,Educational,Economic,Physical
DZA,Algeria,6,98.39,88.83,1.61,83.15,38.51,76.32,91.45
AND,Andorra,7,42.46,15.49,57.54,23.65,2.60,15.90,20.76
ARG,Argentina,7,42.46,35.03,28.07,34.68,13.85,25.03,57.74
ARM,Armenia,7,91.94,72.75,8.06,58.23,18.32,68.09,65.88
AUS,Australia,7,34.83,15.41,65.17,23.27,2.62,13.32,17.17
AZE,Azerbaijan,6,98.70,92.38,1.30,83.98,30.24,90.90,70.06
BGD,Bangladesh,7,99.37,91.67,0.63,68.84,44.46,88.07,87.83
BLR,Belarus,6,89.93,71.70,10.07,78.33,21.42,58.64,55.38
BOL,Bolivia (Plurinational State of),7,90.90,57.11,9.10,38.55,21.95,37.97,82.06
BRA,Brazil,7,84.45,47.42,15.55,39.91,9.75,31.06,75.69
CAN,Canada,7,41.14,20.71,58.86,27.87,7.02,16.25,24.24
CHL,Chile,7,79.74,52.39,20.26,59.03,24.32,35.88,55.53
CHN,China,7,91.81,68.42,8.19,57.80,21.07,56.49,74.44
COL,Colombia,7,91.18,59.01,8.82,54.14,18.16,28.16,81.58
CYP,Cyprus,7,80.48,57.86,19.52,49.03,15.82,52.74,57.59
CZE,Czechia,7,77.69,59.26,22.31,63.54,25.15,49.91,43.03
ECU,Ecuador,7,92.09,61.86,7.91,51.92,22.29,38.65,80.83
EGY,Egypt,7,99.52,94.77,0.48,88.79,30.51,93.80,90.28
EST,Estonia,6,76.77,52.09,23.23,58.82,16.77,46.97,37.55
ETH,Ethiopia,7,98.77,73.75,1.23,45.03,16.09,61.73,95.18
GEO,Georgia,6,94.43,78.11,5.57,68.06,18.30,67.97,76.32
DEU,Germany,7,37.45,13.27,62.55,13.18,4.21,15.37,23.06
GHA,Ghana,6,98.97,91.43,1.03,84.47,27.58,76.55,90.34
GRC,Greece,7,64.00,35.91,36.00,29.34,7.86,46.48,30.56
GTM,Guatemala,7,89.46,56.78,10.54,59.55,15.76,28.77,76.06
HTI,Haiti,6,98.91,92.76,1.09,76.13,60.00,72.09,88.11
HKG,"Hong Kong, China (SAR)",7,80.59,55.36,19.41,50.37,18.48,42.28,59.07
IND,India,6,99.22,86.26,0.78,68.91,38.50,75.09,92.39
IDN,Indonesia,7,99.65,93.39,0.35,77.90,43.97,84.26,94.08
IRN,Iran (Islamic Republic of),7,95.47,82.09,4.53,67.37,47.37,77.50,67.20
IRQ,Iraq,7,98.98,93.03,1.02,84.09,31.58,87.32,87.42
JPN,Japan,7,58.82,34.54,41.18,39.07,14.49,37.03,24.58
JOR,Jordan,7,98.46,92.30,1.54,84.03,24.46,87.41,81.35
KAZ,Kazakhstan,7,93.23,76.44,6.77,68.41,28.65,66.18,72.56
KEN,Kenya,7,95.49,81.87,4.51,73.07,18.18,50.76,85.51
KOR,Korea (Republic of),7,89.88,75.10,10.12,72.85,33.73,65.54,59.20
KWT,Kuwait,6,98.47,93.23,1.53,91.28,37.61,78.57,85.51
KGZ,Kyrgyzstan,7,98.02,89.46,1.98,78.81,52.18,83.39,90.18
LBN,Lebanon,7,95.49,78.57,4.51,66.92,15.16,67.95,83.78
LBY,Libya,7,99.72,90.83,0.28,83.03,30.89,82.43,92.93
MYS,Malaysia,7,99.54,87.50,0.46,91.72,36.10,59.79,84.62
MDV,Maldives,7,94.69,78.14,5.31,71.98,14.98,66.15,75.75
MEX,Mexico,7,90.09,59.52,9.91,58.01,18.75,32.87,72.83
MNG,Mongolia,7,97.44,84.92,2.56,74.18,31.62,66.73,80.16
MAR,Morocco,7,93.67,75.08,6.33,61.92,20.42,63.42,79.67
MMR,Myanmar,7,99.42,92.49,0.58,74.50,52.50,89.17,94.49
NLD,Netherlands,7,30.64,11.16,69.36,20.76,3.25,7.96,17.69
NZL,New Zealand,7,27.39,8.67,72.61,14.78,2.83,9.32,14.37
NIC,Nicaragua,7,93.17,57.58,6.83,44.08,20.92,34.33,86.00
