ISO3,Country or territory,Period,GNSI1W,GNSI1M,GNSI2W,GNSI2M,NBW,NBM,PoliticalW,PoliticalM,EducationalW,EducationalM,EconomicW,EconomicM,PhysicalW,PhysicalM
DZA,Algeria,6,96.94,99.79,80.35,97.04,3.06,0.21,72.87,92.79,29.66,47.40,63.85,88.25,88.12,94.88
AND,Andorra,7,40.71,44.15,13.36,17.54,59.29,55.85,23.30,24.00,2.83,2.37,11.16,20.51,20.98,20.55
ARG,Argentina,7,69.71,74.33,31.85,38.50,30.29,25.67,29.90,39.74,12.48,15.30,19.80,30.75,58.66,56.77
ARM,Armenia,7,90.42,95.27,68.42,82.25,9.58,4.73,54.66,66.02,15.93,23.56,64.21,76.41,60.27,78.38
AUS,Australia,7,29.05,43.26,9.98,23.41,70.95,56.74,19.85,28.55,1.48,4.42,7.41,22.27,14.65,20.78
AZE,Azerbaijan,6,97.59,99.80,86.92,97.80,2.41,0.20,76.31,91.62,21.96,38.52,87.00,94.80,60.28,79.84
BGD,Bangladesh,7,99.10,99.63,90.50,92.86,0.90,0.37,66.38,71.33,42.42,46.57,86.94,89.22,85.53,90.20
BLR,Belarus,6,86.23,94.47,61.26,84.52,13.77,5.53,73.23,84.62,13.71,30.89,46.79,73.22,48.05,64.51
BOL,Bolivia (Plurinational State of),7,89.75,92.03,54.02,60.14,10.25,7.97,34.07,42.99,19.77,24.16,34.06,41.91,81.96,82.16
BRA,Brazil,7,84.17,84.78,43.09,52.66,15.83,15.22,38.32,41.81,7.23,12.85,24.95,38.42,75.79,75.56
CAN,Canada,7,34.00,47.94,13.63,27.44,66.00,52.06,24.55,31.03,2.71,11.12,7.40,24.67,17.51,30.65
CHL,Chile,7,76.39,83.41,45.88,59.51,23.61,16.59,51.99,66.82,20.32,28.79,27.70,44.90,56.00,55.02
CHN,China,7,90.04,93.97,63.61,74.30,9.96,6.03,54.57,61.76,19.33,23.19,52.52,61.32,72.63,76.66
COL,Colombia,7,92.76,89.61,58.29,59.74,7.24,10.39,56.05,52.24,15.79,20.53,22.89,33.42,82.11,81.05
CYP,Cyprus,7,77.50,83.75,52.27,64.00,22.50,16.25,44.65,53.69,13.73,18.09,43.97,62.09,57.87,57.27
CZE,Czechia,7,71.10,85.52,48.54,72.01,28.90,14.48,54.60,74.11,19.28,32.10,38.13,63.75,38.16,48.72
ECU,Ecuador,7,91.41,92.83,59.60,64.34,8.59,7.17,50.25,53.76,19.19,25.66,32.48,45.47,81.04,80.60
EGY,Egypt,7,99.16,99.82,91.82,97.30,0.84,0.18,84.74,92.25,24.73,35.83,90.04,97.24,88.79,91.67
EST,Estonia,6,72.87,82.00,46.01,60.25,27.13,18.00,53.72,65.17,14.49,19.66,39.46,56.49,33.21,43.25
ETH,Ethiopia,7,98.73,98.81,72.00,75.38,1.27,1.19,43.24,46.71,14.74,17.42,58.87,64.52,94.54,95.81
GEO,Georgia,6,93.06,95.97,72.23,84.75,6.94,4.03,63.96,72.64,16.95,19.89,61.94,75.00,72.41,80.97
DEU,Germany,7,33.06,42.12,9.96,16.79,66.94,57.88,10.70,15.79,3.19,5.29,11.71,19.23,21.42,24.79
GHA,Ghana,6,98.83,99.10,87.18,95.64,1.17,0.90,79.92,88.97,19.56,35.51,67.10,85.90,89.77,90.90
GRC,Greece,7,55.21,73.98,24.27,49.13,44.79,26.02,20.16,39.85,6.51,9.40,36.70,57.65,27.20,34.36
GTM,Guatemala,7,88.82,90.16,52.47,61.57,11.18,9.84,56.62,62.81,13.41,18.41,23.08,35.15,75.39,76.81
HTI,Haiti,6,97.95,99.89,86.17,99.58,2.05,0.11,72.53,79.81,43.34,77.37,50.94,94.29,81.29,95.09
HKG,"Hong Kong, China (SAR)",7,78.43,83.14,50.18,61.44,21.57,16.86,47.33,53.94,14.72,22.92,36.74,48.79,56.80,61.76
IND,India,6,98.88,99.45,80.75,90.03,1.12,0.55,61.95,73.96,34.91,41.18,67.87,80.38,92.43,92.36
IDN,Indonesia,7,99.71,99.58,93.24,93.57,0.29,0.42,77.35,78.58,40.82,47.79,83.66,84.98,94.40,93.69
IRN,Iran (Islamic Republic of),7,93.67,97.24,76.79,87.29,6.33,2.76,62.45,72.16,36.54,57.80,73.14,81.70,62.07,72.14
IRQ,Iraq,7,98.12,99.83,90.41,95.62,1.88,0.17,78.95,89.15,26.35,36.69,85.01,89.57,88.34,86.51
JPN,Japan,7,54.44,64.17,31.21,38.61,45.56,35.83,36.48,42.20,12.56,17.10,34.87,39.96,20.55,29.64
